Address,Latitude,Longitude,MapAddress,Name,"Registration Status(Reg No,& Date & Relevant Law"
"#-B.1, Al Azam Plaza G-8 Markaz, Islamabad. ",33.6957648,73.0506309,"Al-Azam Plaza, Shop 1, G-8 Markaz, G-8, G 8 Markaz G-8, Islamabad, Islamabad Capital Territory 44000, Pakistan",International Gospel Association ,"VSWA/ICT/460, Date 4.1.2005 VSWA Ordinance 1961 "
Opposite Shaheen Gargo Terminal Islamabad Airport Islamabad ,33.6087819,73.1038507,"Benazir Bhutto International Airport, Airport Road، Rawalpindi, Punjab 46-200, Pakistan",International Human Rights Forum ,"VSWA/ICT/332, Date 10.11.2000 VSWA Ordinance 1961 "
"Village Peja, P.O Bimber Trar, Ibd. 0300-5190271 ",42.6592868,20.2887358,Peja,Iqra Welfare Organization ,"VSWA/ICT/485, Date 04.03.2006, VSWA Ordinance 1961 "
Noor Pur Shahan Muslim Colony Bari Imam Islamabad. 051-2245043 ,33.737029,73.1098806,"Muslim Colony Nurpur Shahan, Islamabad, Islamabad Capital Territory, Pakistan",Islah-e-Moashra Committee ,"VSWA/ICT/15, Date 10.4.1986 VSWA Ordinance 1961 "
Quarter No.9 Block 35-A G-8/1 Islamabad. ,33.6933765,73.05173500000001,"G 81, G-8/1 G 8/1 G-8, Islamabad, Islamabad Capital Territory, Pakistan",Islahi Committee CDA Block ,"VSWA/ICT/83, Date 28.3.1990 VSWA Ordinance 1961 "
"Village Irfanabad, Taramri, Islamabad. 0321-5543477 ",33.6381541,73.1600377,"Taramri, Islamabad, Islamabad Capital Territory, Pakistan",Islahi Committee Irfanabad ,"VSWA/ICT/519, Date 23-02-2008 VSWA Ordinance 1961 "
"Sultan Foundation, Farash Town Lehtrar Road, Islamabad.051-202361 ",33.6449034,73.1901614,"Lehtrar Road, Farash, Islamabad, Islamabad Capital Territory, Pakistan",Islamabad Automobile Association. ,"VSWA/ICT/267, Date 23.12.1996 VSWA Ordinance 1961 "
"IFWA Centre, St:38, F-7/1, Islamabad. ",33.7156606,73.0542889,"Street 38, F-7/1 F 7/1 F-7, Islamabad, Islamabad Capital Territory, Pakistan",Islamabad Foreign Women Association ,"VSWA/ICT/278, Date 31.10.1997 VSWA Ordinance 1961 "
Shop No.6 Block 20 Civic Center Melody Islamabad. 051-273427-317 ,33.6844202,73.04788479999999,"Islamabad, Islamabad Capital Territory, Pakistan",Islamabad Hair Dresser & Beautician Welfare Association. ,"VSWA/ICT/259, Date 26.6.1996 VSWA Ordinance 1961 "
"No.16, Block 20-B, Blair Plaza, G-8 Markaz, Islamabad. 0301-5428781 ",33.6979916,73.0479677,"Blair Plaza, G-8 Markaz, G-8, G 8 Markaz G-8, Islamabad, Islamabad Capital Territory 44000, Pakistan",Islamabad Hzekiel Munawar Welfare Association ,"VSWA/ICT/480, Date 29.11.2005, VSWA Ordinance 1961 "
