Address,Latitude,Longitude,MapAddress,Name,Total Employees
"17 margalla plaza , G-10 . Markaz Islamabad ",33.6756824,73.0161755,"G-10 Markaz G-10, Islamabad, Islamabad Capital Territory, Pakistan",fine fashion tailors i,3
junaid plaza blue area Islamabad ,33.7106278,73.05858309999999,"108 West Jinnah Ave, Block I G 7/2 Blue Area, Islamabad, Islamabad Capital Territory, Pakistan",chiana restuarent ,5
12-Dshop # 7 G-8. markaz Islamabad ,33.6844202,73.04788479999999,"Islamabad, Islamabad Capital Territory, Pakistan",M/S naqvi traders ,4
"al rehman plaza markaz G-9 , Islamabad ",33.6876775,73.0338865,"G-9 Markaz G 9 Markaz G-9, Islamabad, Islamabad Capital Territory, Pakistan",motel loxer,4
plot # 31 st # 3. sector I-10/3 Islamabad ,33.6537916,73.03905189999999,"I-10/3 I-10, Islamabad, Islamabad Capital Territory, Pakistan",xasani pak pvt ltd ,8
23-F aziz plaza blue area jinnah avenue Islamabad ,33.7234548,73.0839927,"Huma Plaza, AK Fazal-ul-Haq Rd, Block B, Blue Area, Islamabad, ICT, Pakistan",the kashmir victory house,3
39- I&T Center G-9 /4 Islamabad ,33.6839995,73.04105410000001,"Street 55, G-9/4 G 9/4 G-9, Islamabad, Islamabad Capital Territory, Pakistan",M.A Traders ,4
shalimar plaza G-9 markaz Islamabad ,33.6897273,73.03234710000001,"Shalimar Plaza, G-9 Markaz, G-9, G 9 Markaz G-9, Islamabad, Islamabad Capital Territory 44090, Pakistan",arif tailors ,
kalar sydan plaza markaz G-9 Islamabad ,33.6897852,73.0319998,"Kallar Syedan Plaza, Block 35-B, G-9 Markaz, G-9, G 9 Markaz G-9, Islamabad, Islamabad Capital Territory 44090, Pakistan",wasim tailors ,2
"shop #, 5. block # w-1 farooq plaza markaz F-10 Islamabad ",33.6952308,73.0128546,"F-10 Markaz F-10, Islamabad, Islamabad Capital Territory, Pakistan",sheesha ,2
shop # 13.14. shah zeb plaza G-9 markaz Islamabad ,33.6876775,73.0338865,"G-9 Markaz G 9 Markaz G-9, Islamabad, Islamabad Capital Territory, Pakistan",bubble gummers ,2
H.# 19.9TH Avennue F-8/1 Islamabad ,33.7076654,73.0361003,"F-8/1 F 8/1 F-8, Islamabad, Islamabad Capital Territory, Pakistan",occedental petrolium pakistan,16
A-III. I-11/4 Islamabad ,33.6385531,73.027245,"I-11/4 I-11, Islamabad, Islamabad Capital Territory, Pakistan",punjab hazara hotel servey ,2
bazar # 3.shaheen market I-10/1. Islamabad ,33.6425148,73.0361003,"Sector I-10/1 I 10/1 I-10, Islamabad, Islamabad Capital Territory, Pakistan",mughal e Azam resturant ,3
G-6/2. Islamabad ,33.7166053,73.0803713,"G-6/2 G 6/2 G-6, Islamabad, Islamabad Capital Territory, Pakistan",yaseen tailors ,
super market islamabad ,33.6844202,73.04788479999999,"Islamabad, Islamabad Capital Territory, Pakistan",mens choice ,
mughal market I-8/1 Islamabad ,33.6614381,73.0693043,"I-8/1 I-8, Islamabad, Islamabad Capital Territory, Pakistan",jesmien foods ,
shop # 2 fatima plaza I-10 markaz islamabad ,33.6458304,73.035342,"Fatima Plaza, Sohni Rd, I-10-1 Markaz, I-10, I 10 Markaz I-10, Islamabad, Islamabad Capital Territory 44000, Pakistan",fair price ,2
"2.f. east , center G-6-1 Islamabad ",33.7152157,73.0807196,"G-6/1 G-6, Islamabad, Islamabad Capital Territory, Pakistan",OCS pvt ltd Islamabad ,11
"plot # 136 st # 9 sector , I-10/3 Islamabad ",33.6537916,73.03905189999999,"I-10/3 I-10, Islamabad, Islamabad Capital Territory, Pakistan",abbott laboratoreis ,10
plot # 32. st # 3 sector I-10/3 Islamabad ,30.52803369999999,-99.85241490000001,"I-10, United States",northern bottllers pvt ltd ,20
"8th, floor saudi pak tower blue area Islamabad ",33.7152872,73.06344779999999,"Saudi-Pak Towers, 61-A Nazim-ud-din Rd, Block L F 7/4 Blue Area, Islamabad, Islamabad Capital Territory 44000, Pakistan",citi bank n.a Islamabad ,30
n.a isalamabad ,33.5487955,73.1326131,"Rd A, Bahria Town Phase IV Phase 4 Bahria Town, Rawalpindi, Islamabad, Punjab, Pakistan",citi bank n.a Islamabad ,30
10 kulsoom plaza blue area Islamabad ,33.7172931,73.07078,"Blue Area, Islamabad, Islamabad Capital Territory, Pakistan",artech furnishers ,6
flat # 1 aone F-10 markaz ict ,33.6952308,73.0128546,"F-10 Markaz F-10, Islamabad, Islamabad Capital Territory, Pakistan",DOR internatioal ,1
"1st floor yasine plaza 74 west , blue area Islamabad ",33.7172931,73.07078,"Blue Area, Islamabad, Islamabad Capital Territory, Pakistan",TRI PAK films ltd ,13
"h.# 14. A, nizam ud  din road F-7/1 Islamabad ",33.7160005,73.0567611,"F-7/1 F 7/1 F-7, Islamabad, Islamabad Capital Territory, Pakistan",new malik international ,2
first floor yaseen plaza 74 west blue area Islamabad ,33.7172931,73.07078,"Blue Area, Islamabad, Islamabad Capital Territory, Pakistan",packages limited ltd ,10
29 industerial area I-10/3 Islamabad ,33.6537916,73.03905189999999,"I-10/3 I-10, Islamabad, Islamabad Capital Territory, Pakistan",new pak industery ,5
"shsheen plaza 88, I&T center G-8/1 Islamabad ",33.6907445,73.0508582,"G-8/1 G 8/1 G-8, Islamabad, Islamabad Capital Territory, Pakistan",electrical complex ,4
shop # 5.6 universal plaza markaz F-10 Islamabad ,33.6954798,73.0135942,"Universal Plaza, 10th Ave, F-10 Markaz, F-10, F 10/3 F-10, Islamabad, Islamabad Capital Territory 44000, Pakistan",irusa fashion,2
76 hill view blue area Islamabad ,33.7144698,73.06511379999999,"hill view plaza Jinnah avenue blue area Islamabad, block 76/E Jinnah avenue, G 7/3 Blue Area, Islamabad, Islamabad Capital Territory 44000, Pakistan",khyber electrician co pvt ltd ,4
90-E razia saarif plaza blue area Islamabad ,33.7172931,73.07078,"Blue Area, Islamabad, Islamabad Capital Territory, Pakistan",faysal bank ltd ,21
rafique plaza markaz G-9. Islamabad ,33.6876775,73.0338865,"G-9 Markaz G 9 Markaz G-9, Islamabad, Islamabad Capital Territory, Pakistan",progressive traders ,5
shop # . 2 latif chambor aabpara market Islamabad ,33.7063825,73.086089,"Aabpara G 6/1 G-6, Islamabad, Islamabad Capital Territory, Pakistan",gull color laboratory ,2
"shop # 7, I-9 markaz Islamabad ",33.6566613,73.0558388,"I-9 Markaz I 9 Markaz I-9, Islamabad, Islamabad Capital Territory, Pakistan",firdous autos ,2
"shop # 1, I-9 Islamabad ",33.6547167,73.0552854,"I-9, Islamabad, Islamabad Capital Territory, Pakistan",ameer autos workshop ,2
